First Name,Last Name,,Games Played,Goals,Assists,Yellow Cards,Red Cards
Kristopher,Bass,Kristopher Bass,17,8,4,0,0
Mark,Watson,Mark Watson,6,7,2,1,0
Sebastian,Montero,Sebastian Montero,5,5,4,1,0
Chileshe,Chipumbu,Chileshe Chipumbu,8,4,1,1,0
Jack,Gilligan,Jack Gilligan,11,3,5,0,0
Kaan,Vann,Kaan Vann,4,3,3,1,1
Niles,Brown,Niles Brown,10,3,1,1,0
Andres,Urbaez,Andres Urbaez,8,3,0,0,0
Russell,Joseph,Russell Joseph,8,3,0,0,0
Manuel,Carrillo,Manuel Carrillo,6,2,5,1,0
Mananga,Chipumbu,Mananga Chipumbu,13,2,2,0,1
Christopher,Uranga,Christopher Uranga,18,2,1,1,0
Landon,Liborio,Landon Liborio,8,2,1,0,0
Benjamin,Uranga,Benjamin Uranga,8,2,1,1,0
Sebastian,Ramirez,Sebastian Ramirez,2,2,1,0,0
Anawin,Boonprasert,Anawin Boonprasert,7,1,2,0,0
Eduardo,Ramirez,Eduardo Ramirez,8,1,1,2,0
Eduardo,Lopez,Eduardo Lopez,7,1,1,1,0
Mirza,Baig,Mirza Baig,14,1,0,1,0
Carlos,Guerrero,Carlos Guerrero,7,1,0,0,0
Jose,Bautista,Jose Bautista,5,1,0,0,0
Andrew,Dornan,Andrew Dornan,2,1,0,1,0
Marc,Bineau,Marc Bineau,1,1,0,0,0
Jorge,Lopez,Jorge Lopez,1,1,0,1,0
Augusto,Del Rio,Augusto Del Rio,3,0,5,0,0
Wilber,Mejia,Wilber Mejia,10,0,3,0,0
Jace,McBride,Jace McBride,9,0,2,1,0
Ezequiel,Ruiz,Ezequiel Ruiz,7,0,2,0,0
Axel,Vaquero,Axel Vaquero,3,0,2,0,0
Zabdiel,Puebla,Zabdiel Puebla,1,0,2,0,0
Jhonatan,Arriaga,Jhonatan Arriaga,6,0,1,1,0
Isaac,Garcia,Isaac Garcia,3,0,1,1,0
Gianpiero,Muscelli,Gianpiero Muscelli,2,0,1,0,0
Luis,Ruiz,Luis Ruiz,1,0,1,0,0
Alen,Hernandez,Alen Hernandez,17,0,0,0,0
Enzo,Prado,Enzo Prado,9,0,0,0,0
Kevin,Hernandez,Kevin Hernandez,9,0,0,0,0
Ousseynou,Ndoye,Ousseynou Ndoye,9,0,0,1,0
Bhrandherthban,Hernandez,Bhrandherthban Hernandez,8,0,0,1,0
James,Serrano,James Serrano,6,0,0,0,0
Yannick,Herschberg,Yannick Herschberg,6,0,0,1,0
Carlos,Sola,Carlos Sola,5,0,0,1,0
Scott,Moody,Scott Moody,4,0,0,0,0
Robert,Thomas,Robert Thomas,4,0,0,0,0
Ryan,Paolucci,Ryan Paolucci,4,0,0,0,0
Mouhamadou,Ndiaye,Mouhamadou Ndiaye,4,0,0,1,0
Raul,Gutierrez,Raul Gutierrez,3,0,0,0,0
Anthony,Meza,Anthony Meza,3,0,0,0,0
Ricardo,Rubio,Ricardo Rubio,3,0,0,0,0
Fahmi,Ademo,Fahmi Ademo,3,0,0,0,0
Jonathan,Burgos,Jonathan Burgos,3,0,0,1,0
Osvaldo,Franco,Osvaldo Franco,2,0,0,0,0
Aaron,Lowers,Aaron Lowers,2,0,0,0,0
Christopher,Forde,Christopher Forde,2,0,0,0,0
Luis,Maldonado,Luis Maldonado,2,0,0,0,0
Daniel,Velandia,Daniel Velandia,2,0,0,0,0
Joao,Carolino,Joao Carolino,2,0,0,0,0
Matthew,Ushry,Matthew Ushry,2,0,0,0,0
Nick,Uranga,Nick Uranga,2,0,0,1,0
Yusuf,Saunders,Yusuf Saunders,1,0,0,0,0
Bryan,Sanchez,Bryan Sanchez,1,0,0,0,0
Cesar,Abreu,Cesar Abreu,1,0,0,0,0
Samuel,Valdivia,Samuel Valdivia,1,0,0,0,0
Francisco,Duarte,Francisco Duarte,1,0,0,0,0
Paul,Saah,Paul Saah,1,0,0,0,0
Gregory,Octavius,Gregory Octavius,1,0,0,0,0
Adam,Smallwood,Adam Smallwood,1,0,0,0,0
Doji,Etheleau,Doji Etheleau,1,0,0,0,0
Carlos,Acevedo,Carlos Acevedo,1,0,0,0,0
Edlouglas,Campos,Edlouglas Campos,1,0,0,0,0
Own goal,,,,1,,,
Team Totals,,,22,61,55,24,2
