First Name,Last Name,,MP,Goals,Assists,Yellow Cards,Red Cards
Benjamin,Uranga,Benjamin Uranga,12,5,0,1,0
Logan,Llano,Logan Llano,13,4,4,1,0
Jose,Segura,Jose Segura,13,2,1,2,0
Gabriel,do Carmo,Gabriel do Carmo,14,2,1,2,0
Osvaldo,Franco,Osvaldo Franco,4,2,0,0,0
Amadou,Kora,Amadou Kora,9,2,0,0,0
Brandon,Gallo,Brandon Gallo,3,1,0,0,0
Yannick,Herschberg,Yannick Herschberg,3,1,0,1,0
Antonio,Carrero,Antonio Carrero,11,1,0,2,0
Sebastian,Ramirez,Sebastian Ramirez,13,0,4,1,0
Javier,Mejia,Javier Mejia,3,0,2,1,0
Justin,Granados,Justin Granados,7,0,1,0,0
Honor,Henderson,Honor Henderson,1,0,0,0,0
Peter,Ayo-Ajibike,Peter Ayo-Ajibike,2,0,0,0,0
Jerry,Lorenzo,Jerry Lorenzo,2,0,0,0,0
Kai,Bennett,Kai Bennett,3,0,0,0,0
Nick,Uranga,Nick Uranga,4,0,0,0,0
Alex,Cardenas,Alex Cardenas,4,0,0,0,0
Christopher,Uranga,Christopher Uranga,5,0,0,0,0
Gerard ,Forges,Gerard  Forges,5,0,0,0,0
Luis,Ruiz,Luis Ruiz,6,0,0,0,0
Randy,Calvillo,Randy Calvillo,6,0,0,0,0
Abiodun,Fasola,Abiodun Fasola,7,0,0,0,0
Samuel,Valdivia,Samuel Valdivia,7,0,0,0,0
Christopher,Forde,Christopher Forde,8,0,0,0,0
Jorge,Valdovinos,Jorge Valdovinos,9,0,0,0,0
Rodrigo,Feitosa,Rodrigo Feitosa,11,0,0,0,0
Alen,Hernandez,Alen Hernandez,13,0,0,0,0
Carlos,Guerrero,Carlos Guerrero,3,0,0,1,0
Fubu,Ngcobo,Fubu Ngcobo,3,0,0,1,0
Amin ,Hersi,Amin  Hersi,3,0,0,1,0
Walid,Jama,Walid Jama,5,0,0,1,0
Abdirahman,Hersi,Abdirahman Hersi,9,0,0,1,0
Juan,Correa,Juan Correa,13,0,0,1,0
Team Totals,,,14,20,13,17,0
