First Name,Last Name,Name,MP,Goals,Assists,Yellow Cards,Red Cards
Lucas,Pegorer,Lucas Pegorer,4,3,0,0,0
Manuel,Carrillo,Manuel Carrillo,4,1,1,2,0
Augusto,Del Rio,Augusto Del Rio,3,1,1,0,0
Anawin,Boonprasert,Anawin Boonprasert,4,1,0,0,0
Daniel,Ailemen,Daniel Ailemen,4,0,1,0,0
Jack,Gilligan,Jack Gilligan,4,0,0,0,0
Ryan,Paolucci,Ryan Paolucci,4,0,0,0,0
Miwoned,Siraj,Miwoned Siraj,4,0,0,1,0
Benjamin,Uranga,Benjamin Uranga,4,0,0,2,0
Carlos,Guerrero,Carlos Guerrero,3,0,0,0,0
Erik,Holmen,Erik Holmen,3,0,0,0,0
Eli,Huey,Eli Huey,3,0,0,0,0
Sebastian,Ramirez,Sebastian Ramirez,3,0,0,0,0
Ousseynou,Ndoye,Ousseynou Ndoye,3,0,0,1,0
Gregory,Octavius,Gregory Octavius,2,0,0,0,0
Mateo,Chavarriaga,Mateo Chavarriaga,2,0,0,0,0
Kristopher,Bass,Kristopher Bass,2,0,0,0,0
Manuel,Montagut,Manuel Montagut,2,0,0,0,0
Kalabi,Kamau,Kalabi Kamau,2,0,0,0,0
Rodrigo,Feitosa,Rodrigo Feitosa,2,0,0,0,0
Ejemai,Ohiwerei,Ejemai Ohiwerei,2,0,0,1,0
Marc,Bineau,Marc Bineau,1,0,0,0,0
Christopher,Uranga,Christopher Uranga,1,0,0,0,0
Eduardo,Lopez,Eduardo Lopez,1,0,0,0,0
Alen,Hernandez,Alen Hernandez,1,0,0,0,0
Landon,Liborio,Landon Liborio,1,0,0,0,0
Own goal,,Own goal ,0,0,0,0,0
Team Totals,,,4,6,3,7,0
