First Name,Last Name,Name,MP,Goals,Assists,Yellow Cards,Red Cards
Manuel,Carrillo,Manuel Carrillo,2,3,1,1,1
Jaír,Figueroa,Jaír Figueroa,3,1,1,0,0
Augusto,Del Rio,Augusto Del Rio,3,1,1,0,0
Sebastian,Montero,Sebastian Montero,2,1,0,0,0
Yannick,Herschberg,Yannick Herschberg,3,0,0,0,0
Christopher,Uranga,Christopher Uranga,3,0,0,0,0
Alen,Hernandez,Alen Hernandez,3,0,0,0,0
Cameron,Verona,Cameron Verona,3,0,0,0,0
Russell,Joseph,Russell Joseph,3,0,0,0,0
Gianpiero,Muscelli,Gianpiero Muscelli,3,0,0,0,0
Landon,Liborio,Landon Liborio,2,0,0,0,0
Nick,Uranga,Nick Uranga,2,0,0,0,0
Mananga,Chipumbu,Mananga Chipumbu,2,0,0,0,0
Sebastian,Ramirez,Sebastian Ramirez,2,0,0,0,0
Anawin,Boonprasert,Anawin Boonprasert,2,0,0,0,0
Eduardo,Ramirez,Eduardo Ramirez,1,0,0,0,0
Jack,Gilligan,Jack Gilligan,1,0,0,0,0
Luis,Ruiz,Luis Ruiz,1,0,0,0,0
Ousseynou,Ndoye,Ousseynou Ndoye,1,0,0,0,0
Mark,Watson,Mark Watson,1,0,0,0,0
Ryan,Paolucci,Ryan Paolucci,1,0,0,0,0
Axel,Mora,Axel Mora,1,0,0,0,0
James,Serrano,James Serrano,1,0,0,0,0
Niles,Brown,Niles Brown,1,0,0,1,0
Own goal,,Own goal ,0,0,0,0,0
Team Totals,,,3,6,3,2,1
